#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2018-07-04T08:12:35 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5b3c7c688a00	
#INFO	-out.max=99999	
#INFO	queryParameters=24	
#-oc.form=dec
#-out.max=99999
#-order=I
#-out.src=J/ApJ/799/208/table1
#-nav=cat:J/ApJ/799/208&tab:{J/ApJ/799/208/table1}&key:source=J/ApJ/799/208/table1&HTTPPRM:&&-ref=VIZ5b3c7c688a00&-out.max=99999&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=PS1&-out=Field&-out=RAJ2000&-out=DEJ2000&-out=MJD&-out=z&-out=Ng&-out=Nr&-out=Ni&-out=Nz&-out=Ny&-out=Np&-out=Nm&-out=Simbad&-ignore=Simbad=*&Simbad=Simbad&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/ApJ/799/208/table1
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/799/208/table1
#-out=PS1
#-out=Field
#-out=RAJ2000
#-out=DEJ2000
#-out=MJD
#-out=z
#-out=Ng
#-out=Nr
#-out=Ni
#-out=Nz
#-out=Ny
#-out=Np
#-out=Nm
#-out=Simbad
#

#RESOURCE=yCat_17990208
#Name: J/ApJ/799/208
#Title: Type IIP supernovae from Pan-STARRS1 (Sanders+, 2015)
#Table	J_ApJ_799_208_table1:
#Name: J/ApJ/799/208/table1
#Title: Pan-STARRS1 type IIP SN sample
#Column	PS1	(A6)	PS1 transient designation (-YYaaa) (G1) (1)	[ucd=meta.id;meta.main]
#Column	Field	(I2)	[1/10] PS1 Medium Deep Field where transient discovered	[ucd=meta.id;obs.field]
#Column	RAJ2000	(A12)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	MJD	(I5)	Modified Julian Date of discovery	[ucd=time.epoch]
#Column	z	(F6.3)	[0.04/0.4] Redshift from follow-up spectroscopy	[ucd=src.redshift]
#Column	Ng	(I2)	[0/30] Number of PS1 g band observations	[ucd=meta.number]
#Column	Nr	(I2)	[1/36] Number of PS1 r band observations	[ucd=meta.number]
#Column	Ni	(I2)	[0/37] Number of PS1 i band observations	[ucd=meta.number]
#Column	Nz	(I2)	[0/30] Number of PS1 z band observations	[ucd=meta.number]
#Column	Ny	(I2)	[0/27] Number of PS1 y band observations	[ucd=meta.number]
#Column	Np	(I3)	Light curve parameters for this IIP supernova [NULL integer written as an empty string]	[ucd=meta.number]
#Column	Nm	(I3)	Simbad column added by the CDS [NULL integer written as an empty string]	[ucd=meta.code]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
PS1;Field;RAJ2000;DEJ2000;MJD;z;Ng;Nr;Ni;Nz;Ny;Np;Nm;Simbad
-11yh ; 7;14 11 11.466;+51 59 12.63;55705; 0.146; 4; 8;13; 8; 0;  5;  1;Simbad
-11amh; 9;22 11 47.815;+01 09 00.95;55795; 0.077;11; 9; 4; 6; 5;  5;  1;Simbad
-11amv; 8;16 12 40.632;+56 11 18.38;55803; 0.052; 1; 1; 3; 2; 3;  5;  0;Simbad
-11anm;10;23 29 26.246;-01 51 18.09;55775; 0.061; 3;20;29;20; 5;  5;  1;Simbad
-11aof;10;23 25 59.575;-00 30 55.16;55792; 0.095;30;36;37;29;14;  5;  1;Simbad
-11apd;10;23 28 56.422;-01 05 18.45;55800; 0.043;25;26;23;30;13;  5;  1;Simbad
-11asz; 2;03 34 46.879;-29 12 32.51;55831; 0.103;11;13;22;21; 6;  5;  1;Simbad
-11awd; 2;03 34 37.528;-27 04 31.47;55852; 0.068; 9; 3;14;11;13;  5;  1;Simbad
-11azd;10;23 31 47.673;-01 25 51.41;55883; 0.059; 5; 9; 0;11; 3;  5;  1;Simbad
-11azi; 2;03 37 45.601;-28 14 25.71;55883; 0.180; 4; 4; 9;11; 7;  5;  1;Simbad
-11azt; 1;02 27 34.018;-03 50 34.07;55883; 0.175; 4; 4; 9; 8; 0;  5;  1;Simbad
-11azv; 3;08 39 58.993;+45 11 36.90;55883; 0.145; 7;12;18;24; 6;  5;  1;Simbad
-11bbg; 3;08 49 51.815;+44 41 17.26;55893; 0.132; 4;15;17;24; 8;  5;  1;Simbad
-12c  ; 5;10 36 06.755;+57 47 01.85;55911; 0.040; 6;13;23;30; 4;  5;  1;Simbad
-12d  ; 5;10 39 55.485;+58 49 27.53;55911; 0.123;11;16;18;30; 9;  5;  1;Simbad
-12y  ; 4;09 58 01.639;+00 43 14.16;55941; 0.093; 8; 8;14;10; 6;  5;  1;Simbad
-12bt ; 4;10 05 16.844;+01 40 39.57;55948; 0.042; 8;11;15;13; 5;  5;  0;Simbad
-12rk ; 6;12 25 55.129;+47 36 06.38;56000; 0.079;11;10;23;25; 6;  5;  1;Simbad
-12wn ; 4;09 59 11.437;+01 08 38.27;56013; 0.107; 4; 6;12;15; 2;  5;  0;Simbad
-12zd ; 4;09 56 48.772;+01 01 45.56;56029; 0.104; 5; 5;13; 7; 2;  5;  1;Simbad
-12zp ; 6;12 14 45.637;+48 19 13.49;56029; 0.101; 8; 6; 9; 9; 2;  5;  1;Simbad
-12auw; 8;16 15 35.435;+56 11 26.92;56091; 0.096; 3; 3; 6; 4; 7;  5;  1;Simbad
-12bku; 9;22 16 40.194;-01 08 24.35;56166; 0.096; 7;11;15;11; 8;  5;  1;Simbad
-12bmp; 2;03 29 28.318;-28 42 15.61;56207; 0.070;10;12;18;23;21;  5;  1;Simbad
-12bml; 2;03 27 04.863;-27 17 15.73;56207; 0.044; 5;10;15;12; 1;  5;  0;Simbad
-12blz; 1;02 21 10.849;-05 27 22.91;56210; 0.086; 9;12;16;24;13;  5;  1;Simbad
-12boi; 9;22 22 40.280;-00 07 21.02;56210; 0.145; 4; 6; 8; 6; 1;  5;  1;Simbad
-12bza; 3;08 36 23.991;+43 38 26.14;56235; 0.109; 9;13;26;26;19;  5;  1;Simbad
-12cey; 1;02 21 27.462;-03 18 56.45;56240; 0.140; 3; 5; 9;13; 4;  5;  1;Simbad
-13hp ; 4;10 04 16.974;+02 35 50.61;56326; 0.149;11;12;19;20; 5;  5;  1;Simbad
-13vs ; 4;09 57 24.212;+03 34 46.75;56353; 0.079; 6; 7;17;17; 6;  5;  1;Simbad
-13wr ; 7;14 15 57.954;+52 03 10.57;56385; 0.077;10;16;27;29;27;  5;  1;Simbad
-13alz; 4;09 57 52.631;+01 52 21.07;56399; 0.098; 1; 1; 7; 5; 5;  5;  1;Simbad
-13arp; 6;12 18 25.108;+46 37 01.30;56408; 0.167; 6; 9;14;12; 0;  5;  1;Simbad
-13ave; 7;14 08 52.904;+53 15 25.98;56417; 0.185;13;12;21;24;16;  5;  1;Simbad
-13atm; 4;09 59 16.605;+03 18 28.43;56417; 0.240; 1; 1; 5; 5; 1;  5;  1;Simbad
-13bvb; 9;22 18 54.478;+01 41 32.70;56478; 0.113; 8;11;14;20; 9;  5;  1;Simbad
-13cqb;10;23 23 35.356;-00 20 33.23;56513; 0.097; 4; 9;16;26; 6;  5;  1;Simbad
-13cua; 1;02 24 04.137;-04 21 25.21;56564; 0.095;13;16;17;20; 7;  5;  1;Simbad
-13eck; 4;09 54 25.733;+02 19 30.73;56624; 0.121; 3; 4; 8;11; 9;  5;  1;Simbad
-13esn; 4;09 57 23.048;+02 31 09.22;56659; 0.130; 3; 2; 7; 3; 0;  5;  1;Simbad

